Date, MaxTemperature, MinTemperature, AvgTemperature, Precipitation, Snowfall, SnowDepth
1/1/1900,67,47,57, 0.00, 0.0, M
1/2/1900,62,50,56, T, 0.0, M
1/3/1900,59,54,56.5, 1.16, 0.0, M
1/4/1900,68,49,58.5, T, 0.0, M
1/5/1900,66,54,60, 0.01, 0.0, M
1/6/1900,66,47,56.5, 0.00, 0.0, M
1/7/1900,68,49,58.5, 0.00, 0.0, M
1/8/1900,66,47,56.5, 0.00, 0.0, M
1/9/1900,70,45,57.5, 0.00, 0.0, M
1/10/1900,72,41,56.5, 0.00, 0.0, M
1/11/1900,75,43,59, 0.00, 0.0, M
1/12/1900,75,42,58.5, 0.00, 0.0, M
1/13/1900,76,51,63.5, 0.00, 0.0, M
1/14/1900,66,42,54, 0.00, 0.0, M
1/15/1900,57,44,50.5, 0.00, 0.0, M
1/16/1900,69,41,55, 0.00, 0.0, M
1/17/1900,81,47,64, 0.00, 0.0, M
1/18/1900,81,47,64, 0.00, 0.0, M
1/19/1900,78,54,66, 0.00, 0.0, M
1/20/1900,71,48,59.5, 0.00, 0.0, M
1/21/1900,66,43,54.5, 0.00, 0.0, M
1/22/1900,67,43,55, 0.00, 0.0, M
1/23/1900,74,45,59.5, 0.00, 0.0, M
1/24/1900,68,45,56.5, 0.00, 0.0, M
1/25/1900,62,50,56, T, 0.0, M
1/26/1900,66,45,55.5, 0.00, 0.0, M
1/27/1900,63,46,54.5, 0.00, 0.0, M
1/28/1900,60,52,56, 0.00, 0.0, M
1/29/1900,71,47,59, 0.00, 0.0, M
1/30/1900,65,48,56.5, 0.00, 0.0, M
1/31/1900,68,49,58.5, 0.00, 0.0, M
2/1/1900,69,41,55, 0.00, 0.0, M
2/2/1900,66,45,55.5, 0.00, 0.0, M
2/3/1900,68,41,54.5, 0.00, 0.0, M
2/4/1900,63,45,54, T, 0.0, M
2/5/1900,60,46,53, T, 0.0, M
2/6/1900,74,45,59.5, 0.00, 0.0, M
2/7/1900,70,42,56, 0.00, 0.0, M
2/8/1900,68,47,57.5, 0.00, 0.0, M
2/9/1900,69,40,54.5, 0.00, 0.0, M
2/10/1900,72,49,60.5, 0.00, 0.0, M
2/11/1900,74,41,57.5, 0.00, 0.0, M
2/12/1900,66,45,55.5, 0.00, 0.0, M
2/13/1900,64,53,58.5, 0.00, 0.0, M
2/14/1900,62,46,54, 0.00, 0.0, M
2/15/1900,62,49,55.5, 0.00, 0.0, M
2/16/1900,70,43,56.5, 0.00, 0.0, M
2/17/1900,82,46,64, 0.00, 0.0, M
2/18/1900,70,48,59, 0.00, 0.0, M
2/19/1900,64,45,54.5, 0.00, 0.0, M
2/20/1900,68,46,57, 0.00, 0.0, M
2/21/1900,79,44,61.5, 0.00, 0.0, M
2/22/1900,84,48,66, 0.00, 0.0, M
2/23/1900,81,47,64, 0.00, 0.0, M
2/24/1900,81,52,66.5, 0.00, 0.0, M
2/25/1900,77,47,62, 0.00, 0.0, M
2/26/1900,68,45,56.5, 0.00, 0.0, M
2/27/1900,76,45,60.5, 0.00, 0.0, M
2/28/1900,81,48,64.5, 0.00, 0.0, M
